Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),Data_hora_sp
23.0,24.1,23.0,51.0,51.0,47.0,12.4,12.5,11.9,919.2,919.2,919.0,1.7,259.0,5.9,559.0,0.0,2025-09-01 17:00:00-03:00
21.8,23.0,21.8,55.0,55.0,51.0,12.2,12.3,11.8,919.5,919.5,919.2,1.8,254.0,7.3,45.6,0.0,2025-09-01 18:00:00-03:00
21.0,22.3,21.0,59.0,59.0,55.0,12.8,13.3,12.3,920.1,920.2,919.5,1.9,270.0,4.4,,0.0,2025-09-01 19:00:00-03:00
20.6,21.0,20.6,62.0,62.0,59.0,13.0,13.1,12.8,920.7,920.7,920.1,1.8,277.0,5.1,,0.0,2025-09-01 20:00:00-03:00
20.1,20.7,20.1,64.0,64.0,61.0,13.2,13.2,13.0,921.1,921.1,920.7,3.1,274.0,7.8,,0.0,2025-09-01 21:00:00-03:00
19.2,20.1,19.2,69.0,69.0,64.0,13.2,13.5,13.1,921.3,921.3,921.0,3.5,272.0,7.7,,0.0,2025-09-01 22:00:00-03:00
18.5,19.2,18.5,72.0,72.0,68.0,13.4,13.4,13.1,921.3,921.5,921.2,3.3,271.0,8.3,,0.0,2025-09-01 23:00:00-03:00
18.2,18.5,18.2,75.0,75.0,72.0,13.6,13.6,13.4,921.1,921.4,921.0,3.1,276.0,8.7,,0.0,2025-09-02 00:00:00-03:00
18.1,18.2,18.0,75.0,75.0,74.0,13.5,13.7,13.5,920.6,921.0,920.6,3.2,279.0,6.9,,0.0,2025-09-02 01:00:00-03:00
17.8,18.1,17.8,76.0,76.0,74.0,13.5,13.5,13.4,920.1,920.6,920.1,3.1,272.0,6.9,,0.0,2025-09-02 02:00:00-03:00
17.4,17.8,17.4,76.0,76.0,75.0,13.1,13.5,13.1,919.7,920.1,919.7,3.8,276.0,7.8,,0.0,2025-09-02 03:00:00-03:00
17.7,17.7,17.4,74.0,76.0,74.0,13.0,13.1,12.9,919.8,919.9,919.6,2.8,269.0,8.4,,0.0,2025-09-02 04:00:00-03:00
17.1,17.7,17.1,76.0,76.0,74.0,12.8,13.0,12.8,919.9,920.0,919.8,2.9,273.0,7.6,,0.0,2025-09-02 05:00:00-03:00
16.6,17.1,16.6,70.0,76.0,70.0,11.2,12.8,11.2,920.2,920.2,919.9,3.2,288.0,8.7,0.3,0.0,2025-09-02 06:00:00-03:00
16.9,16.9,16.6,69.0,71.0,68.0,11.1,11.2,10.9,920.8,920.8,920.2,3.7,279.0,7.5,112.6,0.0,2025-09-02 07:00:00-03:00
16.9,17.4,16.8,72.0,72.0,68.0,11.8,12.0,11.1,921.7,921.7,920.8,4.2,273.0,10.4,461.3,0.0,2025-09-02 08:00:00-03:00
